time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.643461,-0.0824514673488,-0.998237997716,-1.18806812022,1.93856822069,0.671883585094,1.02815062308,-0.497393270472,100.0,-0.145728174849,-0.720970970306,-0.537276770957,1.30695163128,0.428364135017,1.23178657267,-2.05860221734,4.18679571152
0.643680,-0.0824514673488,-0.998237997716,-1.18806812022,1.93856822069,0.671883585094,1.02815062308,-0.497393270472,100.0,-0.145728174849,-0.720970970306,-0.537276770957,1.30695163128,0.428364135017,1.23178657267,-2.05860221734,4.18679571152
0.653890,-0.080917486561,-0.998237997716,-1.18845161541,1.9378012303,0.672267080291,1.02776712788,-0.497776765669,100.0,-0.145728174849,-0.720203979912,-0.53689327576,1.30695163128,0.428747630214,1.23293705826,-2.05975270293,4.18679571152
0.663790,-0.0816844769549,-0.997471007322,-1.18883511061,1.93818472549,0.671883585094,1.02776712788,-0.498543756063,100.0,-0.144577689258,-0.720970970306,-0.53689327576,1.30695163128,0.42798063982,1.23332055346,-2.05975270293,4.18679571152
0.673827,-0.0816844769549,-0.997471007322,-1.18883511061,1.93895171589,0.671883585094,1.02815062308,-0.498160260866,100.0,-0.143810698864,-0.721354465503,-0.538043761351,1.30733512648,0.428364135017,1.23523802944,-2.05898571254,4.18679571152
0.683773,-0.0816844769549,-0.998237997716,-1.18768462502,1.93856822069,0.672650575488,1.02815062308,-0.498160260866,100.0,-0.144194194061,-0.720970970306,-0.537276770957,1.30771862167,0.428747630214,1.23523802944,-2.05936920774,4.18679571152
0.693833,-0.0816844769549,-0.997854502519,-1.18806812022,1.9374177351,0.672267080291,1.02891761347,-0.49892725126,100.0,-0.144961184455,-0.7217379607,-0.537276770957,1.30695163128,0.42798063982,1.23600501984,-2.05898571254,4.18679571152
0.703783,-0.0824514673488,-0.99900498811,-1.18806812022,1.93818472549,0.671500089897,1.02815062308,-0.497393270472,100.0,-0.144194194061,-0.720970970306,-0.537660266154,1.30695163128,0.428364135017,1.23638851504,-2.06013619813,4.18679571152
0.713763,-0.0813009817579,-0.997471007322,-1.18806812022,1.9378012303,0.672267080291,1.02738363269,-0.497776765669,100.0,-0.143810698864,-0.7217379607,-0.538043761351,1.30810211687,0.429131125411,1.23677201023,-2.05936920774,4.18679571152
0.723884,-0.0832184577428,-0.998237997716,-1.18730112982,1.93856822069,0.671883585094,1.02815062308,-0.498543756063,100.0,-0.143810698864,-0.7217379607,-0.538043761351,1.30733512648,0.429514620608,1.23715550543,-2.05860221734,4.18679571152
0.733802,-0.0820679721519,-0.997471007322,-1.18768462502,1.93818472549,0.671500089897,1.02815062308,-0.497776765669,100.0,-0.143810698864,-0.722121455897,-0.537660266154,1.30810211687,0.429514620608,1.23753900063,-2.05898571254,4.18679571152
0.743775,-0.0813009817579,-0.99900498811,-1.18845161541,1.93818472549,0.671500089897,1.02776712788,-0.498160260866,100.0,-0.14304370847,-0.722888446291,-0.537276770957,1.30695163128,0.429131125411,1.23830599102,-2.05898571254,4.18679571152
0.753772,-0.0820679721519,-0.997471007322,-1.18806812022,1.93895171589,0.671883585094,1.02815062308,-0.498160260866,100.0,-0.14304370847,-0.722504951094,-0.537276770957,1.30733512648,0.42798063982,1.23792249582,-2.05936920774,4.18679571152
