time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.126005,0.792486011104,0.639423241578,0.0116821016102,-0.0327056916862,0.703259679221,0.0190952500775,0.709923610495,0.23697005658,-0.605698979203,-0.294471666534,0.316214682261,0.947252124797,0.0516418244259,-0.00740329391199
0.126161,0.792486011104,0.639423241578,0.0116821016102,-0.0327056916862,0.703259679221,0.0190952500775,0.709923610495,0.23697005658,-0.605698979203,-0.294471666534,0.316214682261,0.947252124797,0.0516418244259,-0.00740329391199
0.126275,0.792486011104,0.639423241578,0.0116821016102,-0.0327056916862,0.703259679221,0.0190952500775,0.709923610495,0.23697005658,-0.605698979203,-0.294471666534,0.316214682261,0.947252124797,0.0516418244259,-0.00740329391199
0.150218,0.791813449497,0.639517565653,0.0113288473689,-0.0335829804704,0.703344491006,0.0186843397723,0.709809556037,0.235950555021,-0.605632889973,-0.294904875595,0.316447369978,0.947176714713,0.0515590000229,-0.00768131861955
0.200310,0.792169977884,0.639365020787,0.0114251143761,-0.0334615735425,0.703284975591,0.0187896582485,0.709871477766,0.236090664914,-0.605778346912,-0.294783280114,0.316434446663,0.947187630071,0.051423642886,-0.00777453262906
0.251433,0.792297091668,0.63918849846,0.0115775143902,-0.0331409309123,0.703301677822,0.018613504493,0.709874612957,0.236174933831,-0.606033318343,-0.294663825174,0.316068535934,0.947319496311,0.0512650730139,-0.00763837620652
0.300225,0.791400153301,0.639336185444,0.0104112438012,-0.0336793682762,0.703864944592,0.0186464382902,0.709289891557,0.236276086828,-0.605610079148,-0.294782709818,0.31606120257,0.947309564181,0.0514406424743,-0.00798537053822
0.350264,0.79175147346,0.640013732805,0.011506745229,-0.0331184334298,0.703354704891,0.0192509342554,0.70980612142,0.236092320799,-0.606170049232,-0.294714297322,0.315714102036,0.947453109517,0.0509152900358,-0.00805259480924
0.400610,0.791877105268,0.639866667563,0.011762970672,-0.0331742267673,0.703123042299,0.0191303161022,0.710036258984,0.236152630782,-0.60607123874,-0.294682039554,0.316443539493,0.947200741562,0.0511460805824,-0.00763674919991
0.450589,0.792149103781,0.63948230052,0.0112864285743,-0.0331631158199,0.703437048824,0.0188975819016,0.709731926497,0.236308071905,-0.605966793558,-0.294664643028,0.315886867869,0.947380018869,0.0512648832563,-0.00764841810291
0.500873,0.791980561682,0.63911530756,0.0109272112727,-0.0331387287386,0.703728411939,0.0186718751869,0.709450144805,0.236030017191,-0.605877124548,-0.294815658624,0.315886637363,0.947379458488,0.0511912986964,-0.00820029931171
0.550367,0.792050743774,0.639509691984,0.0110776746521,-0.0334820270448,0.703459895559,0.0188702918007,0.709695034006,0.235903866542,-0.605981131527,-0.294677148566,0.315869541248,0.947385803478,0.0511824030347,-0.00818131398137
0.600223,0.79211628918,0.638816571962,0.011323109335,-0.0330276148096,0.703376807233,0.0184313591489,0.709810206116,0.235638424113,-0.605929684079,-0.294696898087,0.315879506857,0.947387939312,0.051071975674,-0.00823910762869
0.650270,0.791610968815,0.639415814554,0.0106983332195,-0.0335560010626,0.703765086233,0.0185520502982,0.709397293215,0.236079216284,-0.606247727454,-0.294557260786,0.316420856779,0.947212419066,0.0510299409019,-0.00790061358236
0.700221,0.791814802156,0.63948833996,0.011224905134,-0.0330717776768,0.703599304115,0.0187649937025,0.709578855224,0.236097620009,-0.605815867277,-0.294645585577,0.315872345489,0.947375799256,0.0514174961409,-0.00774580081613
0.750328,0.792272119302,0.638547782532,0.0110783353153,-0.0325861062216,0.70361610458,0.0186655934349,0.709587287569,0.236367449087,-0.605849305351,-0.294661547255,0.316057969301,0.947319267734,0.0512998733978,-0.00786689333358
0.800286,0.792373927786,0.638514159695,0.0112026824419,-0.0326071190138,0.703387443283,0.0183822792883,0.709820380258,0.23698786916,-0.605806720401,-0.294613603809,0.316252304418,0.94724442611,0.0516086115933,-0.00700202567589
